Thu Jan  8 23:07:19 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:19 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:19 2026 | 10.17.192.147 | NORMAL | Confidence=0.10 | Bytes=56
Thu Jan  8 23:07:19 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=83
Thu Jan  8 23:07:19 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:19 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:19 2026 | 10.17.192.147 | NORMAL | Confidence=0.10 | Bytes=56
Thu Jan  8 23:07:19 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=83
Thu Jan  8 23:07:19 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:19 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:19 2026 | 10.17.192.147 | NORMAL | Confidence=0.10 | Bytes=56
Thu Jan  8 23:07:19 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=83
Thu Jan  8 23:07:19 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:19 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:19 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:19 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:19 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:19 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:19 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=55
Thu Jan  8 23:07:19 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=55
Thu Jan  8 23:07:19 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=55
Thu Jan  8 23:07:19 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 104.208.16.92 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=112
Thu Jan  8 23:07:20 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=116
Thu Jan  8 23:07:20 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=145
Thu Jan  8 23:07:20 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:20 2026 | 10.17.192.147 | NORMAL | Confidence=0.01 | Bytes=105
Thu Jan  8 23:07:20 2026 | 4.224.92.204 | NORMAL | Confidence=0.00 | Bytes=94
Thu Jan  8 23:07:20 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:25 2026 | 10.17.192.147 | NORMAL | Confidence=0.01 | Bytes=162
Thu Jan  8 23:07:25 2026 | 142.250.82.223 | NORMAL | Confidence=0.01 | Bytes=106
Thu Jan  8 23:07:41 2026 | 10.17.192.147 | NORMAL | Confidence=0.01 | Bytes=112
Thu Jan  8 23:07:41 2026 | 4.224.95.102 | NORMAL | Confidence=0.01 | Bytes=101
Thu Jan  8 23:07:41 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:50 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:50 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:50 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:50 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:50 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:50 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:50 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
